Date,RANDWICK_SO2,PENRITH_SO2,RANDWICK_NO,PENRITH_NO,RANDWICK_NO2,PENRITH_NO2,RANDWICK_PM10,PENRITH_PM10,RANDWICK_PM2.5,PENRITH_PM2.5
16/04/2024,0.1,0.1,0.9,0.4,1.2,0.9,21,24.5,11.1,12.9
17/04/2024,0.1,0,0,0.1,0.6,0.9,18.2,21,7.6,8.5
18/04/2024,0.1,0.1,0.6,0.5,1.1,1,16.1,,8.5,
19/04/2024,0.1,0,0.5,0.7,0.8,0.9,16.6,14.6,7.3,6.7
20/04/2024,0.1,0.3,0,0.2,0.2,0.5,15.1,12.7,4.2,6.1
21/04/2024,0,0.1,0,0.2,0.2,0.6,15.3,14,4,5.3
22/04/2024,0.1,0,1,0.6,1,1,14.1,13.5,5.9,4.3
23/04/2024,0.4,0.2,0.8,1,1.1,0.9,15.1,14.1,3.6,8.1
24/04/2024,0,0,0.2,,0.7,,13.8,17.5,4.6,4.4
25/04/2024,0,0,0.1,0.1,0.4,0.6,14.4,17,4.3,5.9
26/04/2024,0,0,0.3,0.3,0.8,1,13.3,14.7,3.9,6.9
27/04/2024,0.1,0,0.3,0.3,0.9,0.9,11,17.3,3.4,10.7
28/04/2024,0.2,0,0.3,0.4,0.8,0.7,17.8,18.1,8.6,12.7
29/04/2024,0.2,0,0.9,0.9,1.4,1,18.2,27.8,7.5,20.4
30/04/2024,0,0.1,0,0.2,0.2,0.7,15,14,4.6,5.9
1/05/2024,0,0.2,0,0.3,0.5,0.7,10.5,16,3,6
2/05/2024,0.1,0,0.1,0.2,0.9,0.8,8.5,9.8,2.9,2.3
3/05/2024,0.1,0.1,0.2,0.6,1,1.1,7.1,10,1.7,3.9
4/05/2024,0.1,0,0.4,0.2,1,0.7,9,7.6,4.1,2.8
5/05/2024,0.1,0.2,0.1,0.2,0.7,0.5,8.6,7.1,2.8,3.5
6/05/2024,0,0.3,0,0.4,0,0.9,17,13.3,4,5.7
7/05/2024,0.1,0,0.8,0.3,1.1,0.9,10.2,8.2,3.1,3.1
8/05/2024,0.1,0,0.3,0.6,1,1,8.3,9,2.5,2
9/05/2024,0,0,0.6,0.5,1.1,1,8.3,10.8,3.4,4.5
10/05/2024,0.1,0,0.9,0.4,0.8,1.1,10.3,11.4,2.2,3.9
11/05/2024,0,0,0,0.1,0.7,0.8,8.7,6.8,3.3,1.7
12/05/2024,0.1,0.1,0.1,0.1,0.8,0.3,,4.4,1.7,0.6
13/05/2024,0.1,0.1,0.3,0.6,1,0.9,,10.3,4.4,2.2
14/05/2024,0.1,0.1,1.4,1.5,1.1,1.1,,17.7,7,5.9
15/05/2024,0.1,0,0.8,0.8,1.2,1,,20.1,7.1,6.9
16/05/2024,0.1,0.1,1.9,1.1,1.5,1.1,,19.8,8.4,9
17/05/2024,0.1,0,1.6,1.5,1.6,1,,23.5,10.5,11.4
18/05/2024,0,0.3,0,0.3,0.2,0.6,16.7,12.9,6,5.9
19/05/2024,0,0,0.2,0.3,0.8,0.6,12.1,11.2,5.6,4.4
20/05/2024,0.1,0.1,0.3,0.8,0.9,1.1,13.6,18.3,5.2,9.8
21/05/2024,0.1,0.1,0.1,0.1,0.7,0.9,13.4,10.8,3.9,4.1
22/05/2024,0.1,0,0.9,1.1,1.3,1.2,13.7,14.9,4.8,5.1
23/05/2024,0.1,0.1,1.4,1.9,1.6,1.2,14.1,19.6,7.6,9.4
24/05/2024,0.1,0.1,1.5,1.8,1.5,1.3,17.3,20.3,8.8,9.8
25/05/2024,0.1,0,1.4,1.2,1.6,1,18.1,21.5,9.3,14
26/05/2024,0.1,0,1,1,1.3,0.9,19.6,22.9,15.7,20.9
27/05/2024,0.1,0.1,1.3,1.5,1.6,1.1,18.3,21.8,11.7,14.3
28/05/2024,0.2,0.1,1.2,2.6,1.7,1.4,20.2,25.7,11.8,15.4
29/05/2024,0.3,0.1,1.8,2.9,1.7,1.3,21.8,26.1,12.2,17.6
30/05/2024,0.2,0,2.1,2.3,1.5,0.9,21.3,21.1,12.7,14.2
31/05/2024,0.1,0,0.2,0.7,0.9,0.8,11.9,20.8,4.5,7
1/06/2024,0.1,0,0.2,0.4,0.7,1.1,13.7,12.6,4.2,4.4
2/06/2024,0.1,0,0,0.2,0.7,0.6,8.2,7,3,2.8
3/06/2024,0.1,0,0.2,0.8,1,0.9,7,13,2.4,5.9
4/06/2024,0,0,0.8,2.2,1.5,1,11.7,20.8,6.8,12.9
5/06/2024,0.1,0,1.4,1.6,1.7,1,11.2,15.7,5.8,9.6
6/06/2024,,0,,0.5,,0.9,7.6,6.9,4.1,3.3
7/06/2024,,0.1,,0.3,,1,10.8,9,4.2,2.7
8/06/2024,0,0,0.2,0.4,1.2,0.9,8.4,12.7,5.8,6.8
9/06/2024,0,0,0.2,0.7,0.9,0.9,9.9,16.5,6.8,14.2
10/06/2024,0,0.1,0.2,0.6,0.8,0.8,10.1,14.6,6.4,10
11/06/2024,0.1,0,1.2,1.8,1.4,0.8,9.7,15.1,5.3,11.2
12/06/2024,0,0,0.5,0.3,1,0.9,10.3,13.2,3.4,1.9
13/06/2024,0.1,0,0.3,0.8,1.4,1.2,11.8,14.8,4.3,6.6
14/06/2024,0.1,0,1,1.6,1.7,1.3,11.1,18.2,4.6,8.4
15/06/2024,0.1,0.1,0,0.2,0.9,0.9,7.7,7,2.7,2.2
16/06/2024,0.1,0.1,0.1,0.2,0.9,0.8,5.6,6,2.9,2.6
17/06/2024,0,0.1,0.1,1.1,1,1.3,9.4,14.6,4.5,5.8
18/06/2024,0.1,0.1,0.5,1.8,1.4,1.2,11.3,14.5,4.1,8.1
19/06/2024,0.1,0.1,1.6,3,1.7,1.3,11.8,19.9,7.2,12.9
20/06/2024,,0.1,,3.9,,1.3,,27.8,,18.3
21/06/2024,,0.1,,2.1,,1.3,,19,,13.2
22/06/2024,0.1,0.2,0,0.2,1,0.6,9.2,10.9,4.2,9.5
23/06/2024,0.1,0.1,0.4,0.4,0.9,0.7,10.6,12.5,4.6,7.1
24/06/2024,0.1,0,1.9,2.3,1.6,0.9,12.4,19.1,7.7,13.9
25/06/2024,0.2,0.1,1.6,3,1.3,1.2,13.2,22,7.3,15.8
26/06/2024,0.2,0.1,2.3,3.6,1.9,1.2,18.4,24.3,10.4,16
27/06/2024,0,0,1.5,1.5,1.9,1.2,13,16.5,7.5,8.9
